Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.2540336351475583,1.3222133135288505,1.2340944695760712,0.34483014389556454,-0.1728558394160583,0.03944275640658135,-0.005921377268490513,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
2,FTXL,HB,Growth & Technology,Semiconductors,1.9259254880341383,1.2406757997294502,1.1400327962106536,0.5458540686021693,-0.17924806540647875,0.04702872016588011,0.020423080230458357,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
3,PSI,HB,Growth & Technology,Semiconductors,1.7097878637285921,1.0383398935803383,1.039948455086141,0.4340802069905303,-0.21785048803158635,-0.0007885304659499548,0.038286778398510135,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
4,AIS,HB,Growth & Technology,AI Infrastructure,2.063162356930903,1.1467617349970296,1.0303030303030307,0.6004429678848284,-0.15554516769895976,0.05736025753585028,0.021487135990952977,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.665814752073723,1.0685532968486382,1.01523765755553,0.5687003483912845,-0.16581670216578326,0.026456253977399147,0.026911963012907103,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.6141865648683855,0.9744848662609604,0.9435612272943759,0.5186473999541101,-0.16719161958388218,0.01591081285853435,0.027701740939450437,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.5498311092304355,0.8829908122275647,0.8432935539174267,0.4509267699787298,-0.13166030187306788,0.021536047921272283,0.022100925777278402,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
8,XBI,,Defensive Equity,Biotech,0.8273147467204707,0.6789729790321046,0.8164233575478135,0.2823824122482528,0.11479421649285526,-0.07567089354172818,-0.009668246445497686,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
9,EWT,HB,International,Taiwan Equity,1.3260760897546389,0.8473187544701688,0.7324818487372509,0.5475464374826726,0.01500136376034189,0.06628462273161406,0.009038322487346262,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.335809806835067,0.9312039312039311,0.7199017199017197,0.568862275449102,0.35868625756266215,0.122857142857143,-0.004433185560481223,ACCELERATING,Positive trend strengthening through 1m; 1d down.
11,COPX,HB,Natural Resources,Copper Miners,1.1131129536783293,0.6901763797197498,0.7095413703214886,0.20995578104121582,0.02452735104815784,-0.011327594019030385,0.007735827271677653,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
12,OIH,HB,Natural Resources,Oil Services,0.5726375832462833,0.5819601405156849,0.6612347100210982,0.015511181294890708,0.03429401540895993,-0.04772027036709747,-0.0047179231153271495,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
13,SLV,,Natural Resources,Silver Bullion,0.9426256077795785,0.5858692775866632,0.5879862397459645,-0.08754567600487217,0.007057637371870262,-0.001333111148141941,0.016279464134305588,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
14,EPU,HB,International,Peru Equity,1.1391472159352114,0.6006223069519467,0.5872176463097045,0.20381227045206662,0.033246043493111666,0.008445382820313485,0.0016556291390728006,COOLING,Positive trend losing velocity into 1m; 1d up.
15,BOAT,HB,Transportation & Trade,Global Shipping,1.1749158361052907,0.7112408122912803,0.5671634050545777,0.34567019543149535,0.3352072702436897,0.09193515288323417,-0.004117536964252322,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
16,IBB,HB,Defensive Equity,Biotechnology,0.5295074164631994,0.45369253712536994,0.541729498055223,0.2440699890770206,0.17813292934654945,-0.05710272848830167,-0.012121504805138295,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
17,PICK,HB,Natural Resources,Global Metals & Mining,0.6968077022564645,0.48781347558579835,0.522240227528965,0.15834577946549455,-0.01764425369575584,-0.022615846908113246,-0.008503128509545932,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
18,SIL,,Natural Resources,Silver Miners,1.3825420041968024,0.4969334691606653,0.5074686101726154,0.15064930718238734,0.13855602936351108,-0.006988630437050225,0.0019997894958425633,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
19,XLE,,Natural Resources,Energy,0.47525130004812177,0.47364155968302923,0.4569138604361218,0.09833225520781297,0.20464546172322184,0.011481597986788383,-0.0026364764267989838,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
20,VDE,HB,Natural Resources,Energy,0.48541209307435795,0.46456881669730254,0.4544156858622317,0.08740957463680576,0.19563355352058176,0.006980900256897238,-0.0038671896580299014,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
21,XOP,HB,Natural Resources,Oil & Gas E&P,0.5142602009143928,0.4628273559223113,0.4299807000105149,0.09868633995497,0.24898436144246228,0.02296999946331768,-0.010280907627602587,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
22,LIT,HB,Natural Resources,Lithium & Battery,0.7172141042546005,0.350491093066309,0.428455614325598,0.03001248342284346,-0.1381247031880729,-0.05457958964731113,-0.005641748942172176,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
23,QTEC,HB,Growth & Technology,Technology,0.7236571135059204,0.4120201763376412,0.4142760158371741,0.39254575921716284,-0.06616589109077886,-0.001595048968003332,0.012716800414185991,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
24,DBC,,Inflation & Real Assets,Broad Commodity Futures,0.5422878522764161,0.5101282990540954,0.41061483385678654,0.14181692094313458,0.19182048498009419,0.07054616384915469,-0.0036308623298032527,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
25,DXJ,HB,International,Japan Hedged Equity,0.6131682185824308,0.40216360735001455,0.37324977749991883,0.15876865965446574,0.006416944255132062,0.021055040622496968,-0.007618306178057033,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
26,XLK,,Growth & Technology,Technology,0.8028476733705658,0.4043252065674705,0.36018080661418916,0.3729834255335389,-0.008430449710030818,0.032454802875190536,0.008188875890673186,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
27,XME,HB,Natural Resources,Metals & Mining,0.8741857812077427,0.24304583078163278,0.33900787090178275,0.03472228049740744,-0.0706344988553792,-0.07166652430169973,-0.02371541501976271,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
28,CALF,HB,Broad Equity & Factors,Small Cap Cash Flow,0.49208231234438893,0.2797855950944701,0.32816154302810974,0.24203082690495648,0.12691474045230722,-0.03642324097364402,-0.0149732620320856,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
29,FTEC,HB,Growth & Technology,Technology,0.7698496871542324,0.3649221101492255,0.3264656928555607,0.35857858226060557,0.01818245271166319,0.028991641096180354,0.005965105854768726,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
30,SCHD,,Broad Equity & Factors,Dividend,0.2742802423462194,0.27109047598943636,0.3243041805958826,0.11916941016967986,0.06554411408417282,-0.04018238814477071,-0.006196518146945995,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
31,VGT,,Growth & Technology,Technology,0.7644000744888397,0.36211182515091234,0.3230225233253894,0.3587108560756156,0.020123251707091505,0.02954545454545454,0.006832400395126781,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
32,VHT,HB,Defensive Equity,Health Care,0.21176198144889846,0.25877812736452865,0.3130986778662812,0.16996937638718634,0.13027767274394786,-0.041368216583707595,-0.003722045232312232,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
33,IYW,HB,Growth & Technology,Technology,0.7856176969006721,0.35992819182079416,0.31165354641196497,0.3620718666710143,0.013211886389593586,0.036804418011817885,0.005676924281575513,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
34,XLV,,Defensive Equity,Health Care,0.17689362434703737,0.24876904220364304,0.30283119742464537,0.15836540864456183,0.1320793219465468,-0.04149590163934436,-0.0024880042651502787,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
35,XAR,HB,Industrials,Aerospace & Defense,0.4793593638335767,0.07982462535641988,0.27898847687717354,-0.10441738031800185,-0.1560999975798295,-0.15571981696585713,-0.006050058014254844,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
36,AIRR,,Industrials,U.S. Industrial Renaissance,0.5392100712746541,0.14936406458063467,0.2762313990928231,-0.04206432727286613,-0.1867838044308633,-0.09940778341793566,0.0036771638695078934,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
37,ARGT,HB,International,Argentina Equity,0.1532311854071775,0.29035854099146574,0.27611894657611025,0.05437917507284995,-0.04465215716718385,0.011158516573679167,-0.015025575447570327,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
